,1,2,3
50,44.75,44.75,44.75
55,54.3,54.3,54.3
60,64.45,64.45,64.45
65,75.2,75.2,75.2
70,86.55,86.55,86.55
75,86.55,86.55,86.55
80,86.55,86.55,86.55
85,90.55,86.55,86.55
90,91.925,86.55,86.55
95,94.05,86.55,86.55
100,96.925,86.55,86.55
105,101.55,101.55,86.55
110,109.55,109.55,86.55
115,119.55,119.55,86.55
120,125.3625,125.3625,86.55
125,130.3,130.3,86.55
130,134.3625,134.3625,86.55
135,137.55,137.55,86.55
140,139.8625,139.8625,86.55
145,139.8625,139.8625,86.55
150,141.55,137.55,86.55
155,143.8625,139.8625,86.55
160,145.2375,139.8625,86.55
165,148.925,119.55,86.55
170,154.7375,119.55,86.55
175,160.55,125.3625,86.55
180,165.4875,125.3625,86.55
185,170.425,130.3,86.55
190,174.4875,130.3,86.55
195,178.55,134.3625,86.55
200,181.7375,134.3625,86.55
205,184.925,137.55,86.55
210,187.2375,139.8625,86.55